Language	PID	glottocode	Mother Node	Subfamily (node below top-level)	Language Family (top-level node)	Reference	Alignment	Alignment notes	Granular Case Marking Alignment Type	Notes	Optional A?	Optional O?	Case-marking complexity (distinctions + optionality)	Indexing	Heirarchical?	Inverse Marking?	Notes	Cell Complexity	Cell Complexity Notes	Form complexity	Form complexity notes	Verbal complexity sum	Total complexity	Word order	Notes	Outstanding comments	Latitude	Longitude	Latlong Comments	Drainage region	Drainage comments	spoken as an L2?	L2 Comments	Speaker population	Speaker population comments	Agriculture intensity (based on EA028)	Agriculture comments	Political organization (EA033)	Political Organization comments	Community Size	Community Size Coding	Hill Score	Valley Score	Hill/Valley	DEM mean	Stdev of Slope	Ruggedness Mean	Altitude (sampled raster value from DEM)	Level 6 hydrobasin	Level 5 hydrobasin	Closest river reach	Closest river network	Downriver distance	Upriver distance
Rabha	STKO01	rabh1238	Kochic	Sal (Brahmaputran)	Sino-Tibetan	Joseph 2007	NOM-ACC		Optional Accusative		0	1	2	None	0	0	p. 248-291 no slot in verbal complex for person/number	0		0		0	2	SOV	p. 483		25.82	91.17				0		"139,986.00"	census	Extensive/shifting	swidden p. 60	Acephalous/petty-chiefdom	p. 72 no higher unit than the clan which is intra-village			3	1	Hill	421.7963128	7.572375345	50.74681911	438	4060900680	4050900680	40924962	41067217	624	94.7
Bodo-Mech	STBG01	bodo1269	Bodo-Mech-Kachari	Sal (Brahmaputran)	Sino-Tibetan	"Brahma 2015 Chapter 5, Haokip 2018"	NOM-ACC		NOM-ACC		1	1	6	None	0	0	None (p. 53 Brahma xx)	0		0		0	6	SOV	p. 305 Brahma Chapter 5		26.4	90.27	Kokrajahar district			1		"1,400,000.00"	census	Both intensive and shifting	"p. 178, but other sources say swidden. cited source inside source: Baishya, 2009: 69"	Acephalous/petty-chiefdom	"p. 17 Saikia ""resisted integration into the state"""			1	2	Valley	58.87396384	4.204111644	37.49026283	49	4060900680	4050900680	40903211	41067217	463.3	2890.6
Garo	STBG02	garo1247	Bodo-Garo	Sal (Brahmaputran)	Sino-Tibetan	"Burling 2003:184, Ingty 2008: Chapter 2, 68, 146"	NOM-ACC		NOM-ACC		1	1	4	None	0	0	None (p. 63 Ingty)	0		0		0	4	SOV	p. 91 Burling		25.3	90.46				1		"1,145,323.00"	census	Extensive/shifting	D-PLACE (EA-028)	Acephalous/petty-chiefdom	https://d-place.org/parameters/EA033#6/24.467/93.327	"1,000"	ehraf - check full source	2	2	Split	148.1407072	5.455305212	43.02873271	116	4060949680	4050975160	40959077	41067217	329.4	117.6
Tiwa	STTB01	tiwa1253	Tiwa-Boro	Sal (Brahmaputran)	Sino-Tibetan	"Dawson, 2020a:27 (Existential Quantification in Tiwa), 2020b (Person Marking in Tiwa)"	NOM-ACC		Optional Accusative		0	1	2	"S,A"	0	0	Dawson 2020b	4	"Just the one 1SG subject marker, x 3 person undergoer combinations I guess, plus one intransitive cell"	1		5	7	SOV	p. 57 Dawson 2020a	"Essentially a '1SG subject marker', is optional"	26.07	92.26				0	not described	"33,900.00"	census	Both intensive and shifting	p. 4 Doloi et al	Acephalous/petty-chiefdom	"village chief (p. 2, Doloi et al)"			3	0	Hill	233.4072568	7.214424029	38.72901479	89	4060884570	4050884570	40910235	41067217	701.7	121.6
Turung	STJL02	sing1264	Jingpho-Asakian	Sal (Brahmaputran)	Sino-Tibetan	"Morey, Stephen. 2010. Turung: a variety of Singpho language spoken in Assam: 333"	Split-S		Split-S		1	1	4	None	0	0	"p. 461, Jingpho has sentence final 3rd person SUBJ agreement, lost in Turung"	0		0		0	4	SOV	p. 510 AOV	"Agentive marker often not required, falling out of use, mostly for human agents, anti-agentive (O) obligatory for animate arguments"	26.59826897	94.20843468	"(Titabor, Morey p. 3)"			0	p. 7 - 12	"1,200.00"	"g, p. 1"	Intensive/irrigated	p. 61 (based on process described)	Acephalous/petty-chiefdom	"https://d-place.org/parameters/EA033#1/30/152, for 'Kachin/Jinghpaw'"			3	1	Hill	110.4829086	2.609158072	8.216642803	100	4060870190	4050884290	40875919	41067217	915.2	58.7
Khiamniungan	STSP01	khia1236	South Patakaian	Sal (Brahmaputran)	Sino-Tibetan	van Dam and Tham (p.c.)	Tripartite	"p.c., check later"	Optional Bipartite		1	1	4	0	0	0		0		0		0	4	SOV			26.27	95.12				1		"61,983.00"		Extensive/shifting	p.c.	Acephalous/petty-chiefdom	p.c.			2	2	Split	1686.416765	7.676412455	112.284315	1630	4060913560	4051019890	40888046	41284417	1697.1	61.2
Hakhun Tangsa	STNP01	noct1238	North Patkaian	Sal (Brahmaputran)	Sino-Tibetan	Boro 2017:117	ERG-ABS 	"NOM-ACC for first and second person, as they cannot take the ERG marker, and instead take a nominative/definite marker (p. 481)"	Optional Ergative		1	0	2	"S,A,O"	1>2>3	2	p. 403 inverse markers -r and -th	29	5 intransitive cells + 8 local domain paradigm + 16 mixed domain	7	"5 argument indexes (2 sets for checked vs. unchecked, plus 2 inverse markers"	36	38	SOV	p. 472 APV is most common	I think i'm making the arg indexing more difficult than it is - it's just index the higher argument (either on the hierarchy or A>P)	27.14233699	95.8498428	"(g, p. 6)"			0	p. 21 - 22	"10,000.00"	"estimate, g, p. 5"	Extensive/shifting	p. 8	Acephalous/petty-chiefdom	"p. 12 (there is a clan for leaders, which I understand to be village-level)"			4	0	Hill	857.6211709	8.707766068	94.25631232	1421	4060865930	4050865930	40834741	41067217	1162.6	119.6
Hills Karbi	STKA01	karb1241	Karbic	Kuki-Chin-Naga	Sino-Tibetan	Konnerth 2014	NOM-ACC		Optional Accusative		0	1	2	O	0	0	p. 224 almost seems like an inverse marker but you don't get it when 1>2 though	4	"4 spots where speakers must remember to use the ""non-subject marker"""	1	"a non-subject, first and second person marker"	5	7	SOV	"p. 513, AOV is default for transitive"		25.73	93.05				0	"There was Austroasiatic contact, but doesn't seem to have many L2 speakers(p.11)"	"528,503.00"	C	Extensive/shifting	p. 6	State	"p. 102 - there was a king, and he had two levels of leaders under him"			2	2	Split	173.0472494	4.535620582	28.04129018	179	4060884570	4050884570	40929290	41067217	837.2	122
Manipuri	STKC01	mani1292	Kuki-Chin-Naga	Kuki-Chin-Naga	Sino-Tibetan	Chelliah 1997	NOM-ACC		NOM-ACC		1	1	4	None	0	0	Not possible	0		0		0	4	SOV	p. 152 - AOV is unmarked order. Always verb final (wow that it's the same page number as Coupe's grammar)		24.44	93.34				1	p. 7	"878,922.00"	"g, p. 7"	Intensive/irrigated	p. 540	State	p. 10 - monarchy			0	4	Valley	430.8172193	8.019638421	80.61196535	321	4060947390	4050975160	41000464	41067217	681.6	148.3
Ao Naga	STCN01	mong1332	Central Naga	Kuki-Chin-Naga	Sino-Tibetan	Coupe 2007:82	NOM-ACC		Optional Nominative		1	0	2	None	0	0	Not possible	0		0		0	2	SOV	p. 152 - AOV is unmarked order. Always verb final		26.29175398	94.40074662	"(Mangmetong, based on grammar p. 1)"			1	some Phom villages are influenced by Ao	"170,000.00"	"g, p .2"	Extensive/shifting	p. 108	Acephalous/petty-chiefdom	https://d-place.org/parameters/EA033#6/24.467/93.327			2	2	Split	783.7211888	6.673873575	68.74567412	1102	4060870190	4050884290	40902248	41067217	1016.5	106.3
